Iteration,Type,Mobility,Delay,Tp_type,Ap_type,Server_type,V_id,Tile_scheme,VP_trace,VP_error,Thread,Total_seg,Algo,Buffer_time,Host_num,Bg_traffic,til_720_z1, til_1080_z1, til_4k_z1, til_720_z2, til_1080_z2, til_4k_z2, til_720_z3, til_1080_z3,til_4k_z3, z1_bit, z2_bit, z3_bit, qt_sw_z1, qt_sw_z2, qt_sw_z3, total_stall, start_time,QoE,QoE1,nQoE,nQoE1
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3829982.504553,122863000.650723,173027599.036237,1,1,1,0.052947,0.000134,17853131357.667145,52444165500.91196,3.026816466919793,3.0179741900293875
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,5861652.133196,109825954.903133,103098052.748353,1,1,0,0.109233,0.00013,16061126894.175196,34914425402.03938,2.6164078481581736,1.7622464843592487
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,4184098.878814,125676210.037633,175709496.767051,1,1,1,0.0,0.00013,18273106397.32883,53356670559.01244,3.1230000308859456,3.083340697265546
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,5581524.885341,123320573.955863,106128358.008068,1,1,0,0.0,0.0006,17992586693.826035,36907234917.9326,3.058754820343523,1.904999663078148
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3268157.205938,131164237.175043,186959276.654135,1,1,1,0.196285,0.000124,19024912754.01105,56477500106.67647,3.2951802986855636,3.3068986111634118
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4037714.705928,124434411.508129,112100534.419122,1,1,0,0.029934,0.000134,18088139273.69025,38346812575.47463,3.080638472488432,2.0081225581606317
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2990816.261765,120370585.096851,179533219.902191,1,1,1,0.0,0.000178,17458978535.939907,53691963908.40367,2.936546761435437,3.107359145113759
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,4446903.205373,125295174.775976,107871446.6831,1,1,0,0.0,0.0002,18229275101.36529,37457025236.06383,3.1129616956019617,1.9443834149702244
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,2914640.246265,126612350.6103,185807649.513189,1,1,1,0.231325,0.000175,18354593376.23089,55756190533.02266,3.1416623496131453,3.2552282263834083
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4558593.896412,116575391.95296,106539755.460432,1,1,0,0.136083,0.000126,16978317383.28983,36313001347.38896,2.8264647366579503,1.8624322574028676
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2626693.24179,123533103.8486,187912120.0519,1,1,1,0.0,0.000205,17899088069.352726,55940935176.76456,3.037341569367893,3.2684622484688686
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,4063231.390539,124951670.066177,106065801.590712,1,1,0,0.0,0.004999,18163696206.910667,36985413616.06079,3.09794267972262,1.9105999262126314
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,5184132.9693,41764517.54318,44106116.602537,1,1,1,0.282497,0.000197,6231824108.712955,10313771357.790451,0.36528031931794247,0.0
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,2,1,no,1,0,59,11,0,469,1377,0,3,6474458.50037,136171053.053598,18906012.51617,1,1,0,0.406655,0.000131,19880558893.984528,15953378074.743313,3.491142171331203,0.4039883286128464
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,5683797.060016,122217414.070638,155908053.300672,1,1,1,0.0,0.000126,17838027101.69197,33486902581.79403,3.0233572585536965,1.659987127075694
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,6185184.702477,154566635.141999,101833655.272965,1,1,0,0.0,0.000437,22517373216.95,29151219157.90323,4.095030915062548,1.349404210975038
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,4201491.559162,142839316.740935,170617145.173258,1,1,1,0.023001,0.000151,20745324255.07983,37434203085.42459,3.6891925471145504,1.9427485700324771
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,2,1,no,2,0,58,14,0,466,1373,0,7,4835205.438331,136477259.648277,104524327.992447,1,1,0,0.149803,0.000125,19855804016.117126,27729252816.05744,3.485472757308999,1.2475428871952854
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,3818141.490466,145006469.06259,195805742.819534,1,1,1,0.0,0.000124,21041293486.61201,41102175480.7033,3.756976040952709,2.2055005865715573
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,5332824.139684,157344601.821411,112363157.992213,1,1,0,0.0,0.00041,22881601275.14817,30835176190.74589,4.178447188472967,1.4700330103395312
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,3343126.751151,127899476.57896,168691747.367249,1,1,1,0.149391,0.000142,18557935949.275627,35698222210.16589,3.188232291953637,1.8183930879043624
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,4827079.817979,132799965.416607,83694512.73228,1,1,0,0.296443,0.000189,19325932370.07097,24501376787.22844,3.364120442175256,1.0163167915996196
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2506725.338626,124308377.019001,169680238.659754,1,1,1,0.0,0.000189,18005688753.95763,35454759592.09161,3.0617554816203714,1.8009528547299687
1,5g,19op,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,3812580.858489,133445146.250467,94946394.21292,1,1,0,0.0,0.000207,19376229455.122955,26073464836.58348,3.375639586030343,1.1289319535012508
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,4544022.738724,108119514.510957,181735558.451858,1,1,1,0.18097,0.000181,15760059042.82526,53096443024.03398,2.547456657721247,3.0646995238307086
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,1,0,59,13,0,467,2335,0,5,5916572.842829,128189986.191488,111183873.340313,1,1,0,0.021665,0.000122,18707854069.879368,38571761094.42119,3.2225668542037917,2.024236549925337
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,4931741.809704,121818526.100612,180429533.388406,1,1,1,0.0,0.000128,17749000913.49508,54122222473.552536,3.002968294309545,3.1381803437060904
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,2,0,58,19,0,461,2328,0,12,4758689.037434,137885492.693796,106089209.130969,1,1,0,0.0,0.000195,20055375886.47796,38261747173.92244,3.5311791254163967,2.002028972008153
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3069886.636092,117633573.048534,183452101.446625,1,1,1,0.217862,0.000132,17068169755.7674,54349549987.948105,2.847042915357973,3.154464752743393
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4516955.981851,122532592.243791,113983304.002985,1,1,0,0.097767,0.000138,17834405432.922626,38624934142.0191,3.022527816380131,2.0280455550039638
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2901791.379495,125057365.510072,176673608.743735,1,1,1,0.0,0.000129,18130135870.38856,53469006771.93898,3.0902566211006604,3.0913878043034293
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,4220068.465131,123119762.652655,108203743.568869,1,1,0,0.0,0.000223,17906488696.5168,37316416084.40463,3.0390364765147533,1.9343110005240693
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3207034.390891,115185667.347882,182024456.308669,1,1,1,0.375465,0.000118,16721431539.897415,53786242283.42778,2.7676322023010584,3.11411269461852
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,2,1,no,2,0,58,10,0,470,2337,0,3,4790832.321019,127281742.014402,110488744.509413,1,1,0,0.012521,0.000123,18529785806.50229,38274628405.113686,3.1817852872452694,2.0029517078159147
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2517209.352975,122616086.641104,182273648.403686,1,1,1,0.0,0.000179,17762439268.14321,54528900835.83261,3.0060459744615358,3.167312394947654
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,4,1,no,1,0,59,13,0,467,2335,0,5,3689961.254429,117834704.255045,107537034.550485,1,1,0,0.0,0.000125,17123175784.412027,36630776065.08336,2.8596405113458827,1.8851957732861422
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,4269699.622723,145055606.450724,155566711.668046,1,1,1,0.337728,0.000131,21067334710.60585,35572871811.161385,3.762940056661324,1.8094137209508903
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,2,1,no,2,0,58,15,0,465,1372,0,8,6680707.442502,126029899.322779,88162365.220386,1,1,0,0.160363,0.00014,18428895213.375107,24545866446.395035,3.158679112112937,1.0195037696903506
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,5622725.71342,130161298.745384,168813274.533317,1,1,1,0.0,0.000128,18979381498.29839,36027871044.117744,3.2847526350562544,1.8420071957918958
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,5957275.535419,141115926.052961,93571435.288735,1,1,0,0.0,0.000171,20570898923.11315,26710192542.51652,3.649245291944221,1.1745433896547928
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,3944312.089685,116088014.685425,150606051.762697,1,1,1,0.271691,0.00021,16882335220.298826,32093745658.65068,2.8044827004848205,1.560189540980862
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,4141241.463984,137072329.229019,99729480.579566,1,1,0,0.232602,0.000193,19912347548.46496,27095544065.55227,3.498422475618047,1.2021477112915575
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,3435334.492952,132116265.787311,176518338.566689,1,1,1,0.0,0.0002,19169026321.075905,37186976285.48806,3.328185489916307,1.925038692959945
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,4,1,no,1,0,59,11,0,469,1377,0,3,4749006.665876,121963330.678202,95225209.959773,1,1,0,0.0,0.000166,17762177896.62721,25049016998.62225,3.0059861146090343,1.0555465224631417
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,1694947.23781,64550576.310833,79895669.21746,1,1,1,1.882671,0.000513,9366470763.650269,17293645452.73973,1.0831836673105424,0.4999972180808777
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,4405224.611251,106705366.351209,91639058.388844,1,1,0,0.302104,0.000164,15550592185.946892,23074924658.84933,2.499484119058999,0.9141341323979019
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2293674.024583,90093968.112716,106920420.679966,1,1,1,0.0,0.000588,13069865716.261106,23500373300.686047,1.9313429426887063,0.9446107763116617
1,5g,19oi,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,2703780.298088,94502052.029089,68088409.691604,1,1,0,0.0,0.000137,13721854263.707855,18581956303.853004,2.0806627265717204,0.5922842468750161
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,4185985.777348,128271673.181696,184720749.978611,1,1,1,0.086101,0.000125,18646932339.44201,55714547521.715614,3.208614431790377,3.2522451654395006
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,1,0,59,11,0,469,2337,0,3,5453332.485404,122619345.556693,102650756.368537,1,1,0,0.130369,0.000143,17886225722.98962,36020774126.60593,3.03439580784081,1.8414988142703113
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,4291320.094276,126276555.151435,183665086.435691,1,1,1,0.0,0.000126,18364059384.765663,55280414963.44848,3.143830274731129,3.221146456715088
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,5361824.321856,120947399.958149,104831564.083488,1,1,0,0.0,0.000159,17641622214.490757,36366733012.13579,2.9783761995683804,1.8662812785357428
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3451482.451199,135282300.267339,179472004.340943,1,1,1,0.149409,0.000124,19625613499.804203,55128512102.75264,3.4327540427205774,3.210265027231796
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4605246.720592,127835769.32667,108182107.342614,1,1,0,0.001487,0.000121,18601771144.29841,37780267334.88989,3.1982715202083423,1.9675385819519047
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,3090488.29107,121259755.557352,179979749.251985,1,1,1,0.0,0.000149,17591205307.483032,53885998365.694565,2.966829613837811,3.12125863492368
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,4208088.606822,123647033.153344,103152627.312018,1,1,0,0.0,0.000131,17981912494.567497,36184569694.31919,3.0563101928532843,1.853232167490804
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,2992697.988453,114441791.815658,185973467.605765,1,1,1,0.159958,0.000129,16605311335.281431,54629896747.87878,2.741038109620119,3.1745471493821453
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,2,1,no,2,0,58,14,0,466,2333,0,7,3397795.868118,117628463.511916,97696692.855999,1,1,0,0.36353,0.000121,17081206169.613173,34296066049.44496,2.8500285421848295,1.7179508492423878
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2552729.671887,130147513.662896,171459236.714149,1,1,1,0.0,0.000132,18848456612.67572,52722837347.96752,3.254767943296493,3.0379366057391595
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,4,1,no,1,0,59,11,0,469,2337,0,3,4090364.03994,115997691.653815,111845752.736027,1,1,0,0.0,0.00182,16875462886.81896,37479479827.76618,2.8029087842649663,1.9459919301427895
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,4731733.353045,115611136.345787,144357187.041853,1,1,1,0.095798,0.00015,16846736433.208654,31218693700.386604,2.796329791640611,1.4975059540197646
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,2,1,no,2,0,58,29,0,451,1358,0,22,5349234.354258,102900452.974905,81618166.991145,1,1,0,0.401962,0.000132,15042333068.53622,21366418370.618706,2.3830815505391407,0.7917467684471475
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,4882873.330729,98984912.38958,120673376.780968,1,1,1,0.0,0.000162,14458908062.989449,26360558264.06324,2.2494643327500423,1.149497641809734
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,5724802.050421,106450245.218674,61218958.747042,1,1,0,1.628379,0.000191,15569276989.603846,18907881526.29936,2.503763351960986,0.6156316170866779
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,4102596.017768,116480271.400951,159415494.530175,1,1,1,0.088796,0.000133,16945468113.10077,33353753331.01928,2.818941527938175,1.650449096149735
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,2,1,no,1,0,59,11,0,469,1377,0,3,5005779.113569,119969291.277939,64427951.878158,1,1,0,0.117505,0.000213,17485820665.28685,20618352043.231613,2.942694202166936,0.7381596868543465
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2770256.895853,116066569.504949,160710208.440473,1,1,1,0.0,0.000131,16829936797.337854,33436750225.88568,2.792482303816838,1.6563945066224797
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,4152219.096769,120350062.551869,86094668.658947,1,1,0,0.0,0.000215,17504802208.532555,23609063481.077583,2.9470413949915866,0.9523967029758406
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,3329088.993214,128609036.668205,154349783.357804,1,1,1,0.050767,0.000143,18659523016.71758,33786559360.02072,3.21149797509354,1.6814527801024215
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,4088008.308198,123382492.03259,81423425.737733,1,1,0,1.056051,0.000119,17938775196.095745,23252848330.438644,3.0464307983296783,0.9268795400679006
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2625162.928746,102138918.971327,145807551.370479,1,1,1,0.0,0.000147,14818261173.87778,30037035152.380207,2.331764135508337,1.4128588703206166
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,4,1,no,2,0,58,10,0,470,1377,0,3,3649293.96235,117522994.743182,78396995.15725,1,1,0,0.0,0.000187,17076581588.43603,22254263172.563828,2.8489694109092496,0.8553467596534867
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,4637341.461996,120853493.39945,185758065.041424,1,1,1,0.341395,0.000899,17597671388.45269,55264090924.97231,2.9683104892561603,3.219977098397889
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,5687840.073231,131883217.381516,108747368.064486,1,1,0,0.107529,0.000129,19230072584.55113,38346562277.4282,3.342166433147109,2.008104628277484
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,3833875.534468,128811730.542428,186306359.937863,1,1,1,0.0,0.000236,18709911969.55622,56122637128.97958,3.2230381587017067,3.28147830998968
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,2,0,58,17,0,463,2330,0,10,4963858.287733,119626172.624804,102813909.911035,1,1,0,0.0,0.000122,17434650905.05601,35751049538.34769,2.930975196413022,1.8221773276729072
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3455994.960969,126935141.021794,183483438.121691,1,1,1,0.405832,0.000177,18423812092.753223,55266049844.18279,3.1575149651724987,3.220117423874017
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4309735.206039,132985030.980955,107939760.639245,1,1,0,0.030284,0.000529,19330853338.778767,38205475841.37625,3.365247452744416,1.9979980239784232
